,Unnamed: 0,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
94,94,House,8500000,Muslim Town,Faisalabad,Punjab,31.470052022249,73.088285923004,5,For Sale,4,2019-07-17,Self,Self,5.0
95,95,House,25000000,Millat Town,Faisalabad,Punjab,31.490612,73.10647,6,For Sale,5,2019-07-03,Self,Self,24.0
96,96,House,6000000,Raza Abad,Faisalabad,Punjab,31.42599,73.04821700000001,2,For Sale,4,2019-06-19,Self,Self,2.5
97,97,House,60000000,Satiana Road,Faisalabad,Punjab,31.372179,73.12559399999999,6,For Sale,6,2019-02-17,Ibraheem Associates,Miss Noor ul Huda,32.0
139,139,House,250000,Chen One Road,Faisalabad,Punjab,31.410804,73.106978,3,For Rent,10,2019-03-19,Self,Self,40.0
315,318,House,8500000,Abdullahpur,Faisalabad,Punjab,31.423683,73.10636,3,For Sale,4,2019-03-19,Self,Self,5.0
487,490,House,8900000,Muslim Town,Faisalabad,Punjab,31.461541,73.086584,5,For Sale,4,2018-11-19,Self,Self,5.0
488,491,House,12500000,Wapda City,Faisalabad,Punjab,31.510947,73.220086,5,For Sale,4,2019-07-03,Self,Self,10.0
489,492,House,4500000,Abdullahpur,Faisalabad,Punjab,31.423683,73.10636,3,For Sale,3,2019-04-18,Self,Self,3.0
613,616,Lower Portion,25000,Muslim Town,Faisalabad,Punjab,31.461541,73.086584,3,For Rent,2,2019-06-26,Self,Self,8.0
922,927,House,8000000,Paradise Valley,Faisalabad,Punjab,31.473035,73.195024,3,For Sale,6,2019-07-17,Self,Self,5.0
975,980,House,13000000,Ghulam Mohammad Abad,Faisalabad,Punjab,31.44082,73.043532,3,For Sale,4,2019-04-18,Self,Self,7.0
983,988,House,100000,Muslim Town,Faisalabad,Punjab,31.460287646390004,73.08519601821901,5,For Rent,5,2019-07-17,Self,Self,38.0
1253,1283,House,5000000,Usman Town,Faisalabad,Punjab,31.463279724121,73.09718322753899,2,For Sale,3,2019-07-17,Self,Self,3.0
1254,1284,House,14500000,Satiana Road,Faisalabad,Punjab,31.372179,73.12559399999999,6,For Sale,4,2019-07-17,Self,Self,10.0
1255,1285,House,6500000,Zulfiqar Colony,Faisalabad,Punjab,31.387106,73.08827,2,For Sale,3,2019-07-17,Self,Self,5.0
1381,1411,House,45000000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,6,For Sale,5,2019-07-17,Self,Self,20.0
1382,1412,House,5000000,Gulshan-e-Rafique,Faisalabad,Punjab,31.374964,73.06499699999999,5,For Sale,5,2019-07-17,Self,Self,3.0
1383,1413,House,6800000,Rachna Town,Faisalabad,Punjab,31.390572,73.1158,3,For Sale,2,2019-07-17,Self,Self,5.0
1384,1414,House,10500000,Eden Valley,Faisalabad,Punjab,31.436062,73.15459,4,For Sale,3,2019-07-17,Self,Self,5.0
1385,1415,House,8000000,Ghalib City,Faisalabad,Punjab,31.421539000000003,73.14799000000001,4,For Sale,4,2019-07-17,Self,Self,5.0
1386,1416,House,6500000,Sargodha Road,Faisalabad,Punjab,31.444042,73.088565,4,For Sale,4,2019-07-17,Self,Self,3.5
1387,1417,House,7200000,Samundari Road,Faisalabad,Punjab,31.34583,73.06851999999999,6,For Sale,3,2019-07-17,Self,Self,5.0
1388,1418,House,14000000,Satiana Road,Faisalabad,Punjab,31.372179,73.12559399999999,5,For Sale,4,2019-07-17,Self,Self,10.0
1389,1419,House,4000000,Jaranwala,Faisalabad,Punjab,31.32571407953,73.421204052866,2,For Sale,3,2019-07-17,Self,Self,5.0
1541,1574,Upper Portion,10000,Chibban,Faisalabad,Punjab,31.434888,73.10266999999999,1,For Rent,3,2019-07-17,Self,Self,5.0
1645,1679,House,8500000,Peoples Colony No 2,Faisalabad,Punjab,31.395993,73.106961,3,For Sale,3,2019-07-17,Self,Self,5.0
1646,1680,House,20000000,Wapda City,Faisalabad,Punjab,31.507069,73.22309,8,For Sale,6,2019-07-17,Self,Self,10.0
1647,1681,House,3500000,Satiana Road,Faisalabad,Punjab,31.37861,73.129245,3,For Sale,2,2019-07-17,Self,Self,4.0
1648,1682,House,7000000,Hilal Road,Faisalabad,Punjab,31.38635,73.09943,3,For Sale,2,2019-07-17,Self,Self,5.0
1649,1683,House,9000000,Yousaf Town,Faisalabad,Punjab,31.3918552811,73.114590011537,7,For Sale,4,2019-07-17,Self,Self,5.0
1650,1684,House,7000000,Usman Town,Faisalabad,Punjab,31.457935,73.09411,2,For Sale,4,2019-07-17,Self,Self,3.0
1651,1685,House,5000000,Jail Road,Faisalabad,Punjab,31.435240616906,73.063445985317,1,For Sale,3,2019-07-17,Self,Self,4.0
1652,1686,House,9000000,Gulbahar Colony,Faisalabad,Punjab,31.399473044549,73.105419874191,3,For Sale,3,2019-07-17,Self,Self,5.3
1653,1687,House,25000000,Lasani Town,Faisalabad,Punjab,31.463701,73.07727,5,For Sale,4,2019-07-17,Self,Self,10.0
1654,1688,House,4650000,Shahzad Colony,Faisalabad,Punjab,31.395879,73.111181,5,For Sale,5,2019-07-17,Self,Self,3.0
1655,1689,House,13000000,Narwala Road,Faisalabad,Punjab,31.440014,73.022161,3,For Sale,5,2019-07-17,Self,Self,6.0
1656,1690,House,9000000,204 Chak Road,Faisalabad,Punjab,31.404153000000004,73.13695899999999,6,For Sale,4,2019-07-17,Self,Self,5.0
1657,1691,House,4500000,Mansoorabad,Faisalabad,Punjab,31.435657,73.11859799999999,1,For Sale,2,2019-07-17,Self,Self,3.5
1792,1832,House,7500000,Nemat Colony No 1,Faisalabad,Punjab,31.411524,73.123183,4,For Sale,4,2019-07-17,Self,Self,5.0
1793,1833,House,8500000,Gulshan e Madina,Faisalabad,Punjab,31.491669,73.07914,4,For Sale,3,2019-07-17,Self,Self,5.0
1794,1834,House,40000000,Gulistan Colony No 1,Faisalabad,Punjab,31.441735,73.100789,5,For Sale,5,2019-07-17,Self,Self,10.0
1795,1835,House,10500000,Eden Valley,Faisalabad,Punjab,31.436061,73.154585,5,For Sale,4,2019-07-17,Self,Self,5.0
1796,1836,House,2200000,Shalimar Park,Faisalabad,Punjab,31.376022,73.091042,2,For Sale,2,2019-07-17,Self,Self,2.0
1797,1837,House,2600000,Eden Orchard,Faisalabad,Punjab,31.484528000000005,73.085066,2,For Sale,2,2019-07-17,Self,Self,2.5
1798,1838,House,12500000,Eden Gardens,Faisalabad,Punjab,31.424316,73.149465,5,For Sale,4,2019-07-17,Self,Self,7.0
1799,1839,House,3500000,Shalimar Park,Faisalabad,Punjab,31.376022,73.091042,2,For Sale,3,2019-07-17,Self,Self,2.5
1831,1871,Upper Portion,50000,Susan Road,Faisalabad,Punjab,31.421993,73.117657,3,For Rent,3,2019-07-17,Self,Self,20.0
1832,1872,Lower Portion,30000,Madina Town,Faisalabad,Punjab,31.414902429828,73.112425804138,3,For Rent,2,2019-07-17,Self,Self,12.0
1833,1873,Lower Portion,35000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,0,For Rent,2,2019-07-17,Self,Self,7.1
1834,1874,House,12000,Shahzad Colony,Faisalabad,Punjab,31.395879,73.111181,2,For Rent,3,2019-07-17,Self,Self,3.0
1835,1875,House,10000,Peoples Colony No 2,Faisalabad,Punjab,31.395993,73.106961,2,For Rent,3,2019-07-17,Self,Self,3.0
1836,1876,House,13000,Peoples Colony No 2,Faisalabad,Punjab,31.395993,73.106961,2,For Rent,3,2019-07-17,Self,Self,3.0
1837,1877,Upper Portion,15000,Peoples Colony No 2,Faisalabad,Punjab,31.395993,73.106961,3,For Rent,2,2019-07-17,Self,Self,7.0
1838,1878,Lower Portion,18000,Canal Road,Faisalabad,Punjab,31.429527,73.155627,3,For Rent,2,2019-07-17,Self,Self,5.0
2102,2149,House,3200000,Jaranwala Town,Faisalabad,Punjab,31.282900222682,73.28665103763299,0,For Sale,0,2019-07-17,Self,Self,5.0
2103,2150,House,7500000,Ghalib City,Faisalabad,Punjab,31.421539000000003,73.14799000000001,4,For Sale,4,2019-07-17,Self,Self,5.0
2104,2151,House,7500000,Khayaban Colony,Faisalabad,Punjab,31.427272,73.135886,3,For Sale,3,2019-07-17,Self,Self,10.0
2105,2152,House,15000000,Nisar Colony,Faisalabad,Punjab,31.376585267942,73.06733250618,5,For Sale,6,2019-07-17,Self,Self,4.0
