,Unnamed: 0,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
98,98,House,13500000,Humak,Rawalpindi,Punjab,33.538462,73.144913,4,For Sale,5,2019-04-05,Self,Self,7.0
99,99,House,31500000,Westridge,Rawalpindi,Punjab,33.607828999999995,73.021817,10,For Sale,12,2019-07-04,Self,Self,24.0
100,100,House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,6,For Sale,6,2019-07-17,Self,Self,10.0
101,101,House,9990000,Gulshan Abad,Rawalpindi,Punjab,33.530556,73.06126400000001,2,For Sale,3,2019-05-05,Self,Self,10.0
102,102,House,22500000,Media Town,Rawalpindi,Punjab,33.560887,73.125937,5,For Sale,5,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,12.0
103,103,House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,8,For Sale,6,2019-07-04,Self,Self,20.0
104,104,House,9000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,4,For Sale,3,2019-07-04,Self,Self,5.0
105,105,House,12800000,Chaklala Scheme,Rawalpindi,Punjab,33.656924,73.143826,0,For Sale,0,2018-11-06,Self,Self,7.0
106,106,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,8,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
107,107,House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555594,73.133669,6,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,12.0
108,108,House,39500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,7,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
109,109,House,21000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,7,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,10.0
110,110,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,5,For Sale,5,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
111,111,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
112,112,House,37500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,7,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
113,113,Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.12381500000001,1,For Sale,1,2019-06-20,Mughal Estate & Builders,Mughal,3.8
114,114,House,35000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408000000004,73.115473,5,For Sale,5,2019-01-18,Easy Property,Muhammad Junaid CEO  Muhammad Shahid Director,20.0
115,115,Penthouse,25000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.521053,73.10775600000001,4,For Sale,4,2019-07-16,Easy Property,Muhammad Junaid CEO  Muhammad Shahid Director,10.0
116,116,Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.12381500000001,2,For Sale,2,2019-07-16,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5.5
117,117,House,12800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.495991,73.100195,4,For Sale,4,2019-07-15,Easy Property,Muhammad Junaid CEO    Muhammad Shahid Director,7.0
118,118,House,5000000,Chakri Road,Rawalpindi,Punjab,33.563712435267,73.015782125294,5,For Sale,6,2019-07-05,Self,Self,5.0
119,119,House,22000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,6,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,10.0
120,120,House,38000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
121,121,House,18000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,4,For Sale,4,2019-03-06,Self,Self,10.0
122,122,House,25000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,2019-06-27,Self,Self,10.0
123,123,House,30000000,Askari 12,Rawalpindi,Punjab,33.597588,73.080837,6,For Sale,4,2019-06-04,Self,Self,10.0
124,124,House,23000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,2019-06-27,Self,Self,10.0
125,125,House,30000000,Judicial Colony,Rawalpindi,Punjab,33.595729,73.134502,8,For Sale,10,2019-06-13,Musa Enterprises,Adil Yousaf,20.0
126,126,House,32000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,5,For Sale,5,2019-07-01,Self,Self,22.0
127,127,House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,8,For Sale,7,2019-06-20,Mughal Estate & Builders,Mughal,30.0
128,128,House,25000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,6,For Sale,5,2019-06-27,Self,Self,10.0
129,129,House,6000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.498497,73.101182,2,For Sale,2,2019-07-16,Easy Property,Muhammad Junaid CEO    Muhammad Shahid Director,5.0
130,130,House,23800000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,0,For Sale,4,2019-06-27,Self,Self,10.0
131,131,House,28000000,Askari 10,Rawalpindi,Punjab,33.586989,73.077743,5,For Sale,5,2019-06-04,Self,Self,10.0
132,132,House,5300000,Gulshan-e-Iqbal,Rawalpindi,Punjab,33.551195,73.02615899999999,3,For Sale,2,2019-05-05,Self,Self,5.0
133,133,House,19900000,Shalley Valley,Rawalpindi,Punjab,33.597548,73.014176,6,For Sale,6,2019-02-04,Self,Self,10.0
134,134,House,15000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,4,For Sale,3,2019-06-27,Self,Self,5.0
135,135,House,18000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,5,For Sale,4,2019-06-13,Self,Self,10.0
136,136,House,24500000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,2019-06-27,Self,Self,10.0
137,137,House,27000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,4,For Sale,4,2019-06-27,Self,Self,10.0
138,138,House,18000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,3,For Sale,3,2019-06-27,Self,Self,5.0
140,140,House,200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,8,For Rent,8,2019-01-18,Self,Self,50.0
